Energy(eV)	Energy(eV)	3d-alpha	3d-beta	2p-alpha	2p-beta	 < S_x > 	 < S_y > 	 < S_z > 	 < S2 > 	 < L_x > 	 < L_y > 	 < L_z > 	 < L2 > 	 < LS > 	 < J2 >
-9.73204	 0.00000	0 1 1 1 1	1 0 1 1 0	1 1 1	1 1 0	-0.00000	 0.00000	 0.00000	 5.97446	-0.00000	 0.00000	-0.00000	18.67294	 7.44514	39.53768
-9.70526	 0.02678	0 1 1 1 1	0 1 1 0 1	1 1 1	1 1 0	-0.00000	 0.00000	 0.55312	 5.97184	-0.00000	 0.00000	 0.44688	18.62554	 7.34597	39.28932
-9.70526	 0.02678	0 1 1 1 1	0 1 1 1 0	1 1 1	1 1 0	 0.00000	 0.00000	-0.55312	 5.97184	 0.00000	 0.00000	-0.44688	18.62554	 7.34597	39.28932
-9.62117	 0.11087	0 1 1 1 1	1 0 0 1 1	1 1 1	1 1 0	 0.00000	 0.00000	 1.07926	 5.95875	 0.00000	 0.00000	 0.92074	18.47478	 7.04672	38.52697
-9.62117	 0.11087	0 1 1 1 1	1 1 0 0 1	1 1 1	1 1 0	 0.00000	 0.00000	-1.07926	 5.95875	 0.00000	 0.00000	-0.92074	18.47478	 7.04672	38.52697
-9.46391	 0.26813	1 0 0 0 1	1 1 1 1 1	1 1 1	1 0 1	 0.00000	 0.00000	 1.52970	 5.93029	 0.00000	 0.00000	 1.47030	18.21017	 6.60265	37.34576
-9.46391	 0.26813	0 1 1 1 1	1 1 0 1 0	1 1 1	1 1 0	-0.00000	 0.00000	-1.52970	 5.93029	-0.00000	 0.00000	-1.47030	18.21017	 6.60265	37.34576
-9.18920	 0.54284	0 1 1 1 1	0 1 1 0 1	1 1 1	1 0 1	-0.00000	 0.00000	 1.78148	 5.91257	-0.00000	 0.00000	 2.21852	18.04189	 6.52931	37.01308
-9.18920	 0.54284	0 1 1 1 1	1 0 1 0 1	1 1 1	1 1 0	-0.00000	 0.00000	-1.78148	 5.91257	-0.00000	 0.00000	-2.21852	18.04189	 6.52931	37.01308
-8.98683	 0.74521	0 1 1 1 0	1 1 1 1 0	1 1 1	1 0 1	-0.00000	 0.00000	-0.00000	 3.93602	-0.00000	 0.00000	 0.00000	12.61278	 1.59167	19.73215
-8.95539	 0.77665	0 1 0 1 1	0 1 1 1 1	1 1 1	1 0 1	-0.00000	 0.00000	-0.49944	 4.06828	-0.00000	 0.00000	-0.49991	13.39261	 1.63838	20.73765
-8.95539	 0.77665	0 1 0 1 0	1 1 1 1 1	1 1 1	1 0 1	-0.00000	 0.00000	 0.49241	 4.06828	-0.00000	 0.00000	 0.49287	13.39261	 1.63838	20.73765
-8.87325	 0.85879	0 1 0 0 1	1 1 1 1 1	1 1 1	1 0 1	 0.00000	 0.00000	 0.78017	 4.27833	-0.00000	 0.00000	 1.21983	15.26154	 1.85037	23.24061
-8.87325	 0.85879	0 1 1 1 1	0 1 0 1 1	1 1 1	1 0 1	 0.00000	 0.00000	-0.78017	 4.27833	 0.00000	 0.00000	-1.21983	15.26154	 1.85037	23.24061
-8.83806	 0.89398	0 1 1 1 1	0 1 1 1 0	1 1 1	1 0 1	 0.00000	 0.00000	-1.64091	 5.81207	 0.00000	 0.00000	-3.35909	20.51546	 7.83505	41.99762
-8.83806	 0.89398	1 1 1 1 0	1 1 0 0 1	1 1 1	0 1 1	-0.00000	 0.00000	 1.64091	 5.81207	-0.00000	 0.00000	 3.35909	20.51546	 7.83505	41.99762
-8.83287	 0.89917	1 1 1 1 0	1 0 1 1 0	1 1 1	0 1 1	 0.00000	 0.00000	 1.97110	 5.89440	 0.00000	 0.00000	 4.02890	20.30810	 7.91640	42.03530
-8.83287	 0.89917	0 1 0 1 1	1 0 1 1 1	1 1 1	1 0 1	-0.00000	 0.00000	-1.97110	 5.89440	 0.00000	 0.00000	-4.02890	20.30810	 7.91640	42.03530
-8.75626	 0.97578	0 1 0 1 1	1 1 0 1 1	1 1 1	1 0 1	 0.00000	 0.00000	-0.99755	 4.28127	 0.00000	 0.00000	-2.00245	15.58390	 1.98751	23.84018
-8.75626	 0.97578	1 1 1 1 0	1 1 0 1 0	1 1 1	0 1 1	 0.00000	 0.00000	 0.99258	 4.28127	 0.00000	 0.00000	 1.99247	15.58390	 1.98751	23.84018
-8.71229	 1.01975	0 0 1 1 1	1 1 1 1 0	1 1 1	1 0 1	-0.00000	 0.00000	 0.06551	 2.59028	-0.00000	 0.00000	-1.06551	12.85976	 1.34952	18.14908
-8.71229	 1.01975	1 1 0 1 0	1 1 0 1 1	1 1 1	0 1 1	 0.00000	 0.00000	-0.06551	 2.59028	 0.00000	 0.00000	 1.06550	12.85976	 1.34952	18.14908
-8.65107	 1.08097	0 0 1 1 1	1 1 0 1 1	1 1 1	1 0 1	-0.00000	 0.00000	 0.56217	 2.37622	 0.00000	 0.00000	 1.43273	11.69131	 1.53966	17.14686
-8.65107	 1.08097	0 0 1 1 1	1 1 1 0 1	1 1 1	1 0 1	-0.00000	 0.00000	-0.56161	 2.37622	-0.00000	 0.00000	-1.43130	11.69131	 1.53966	17.14686
-8.62223	 1.10981	1 1 1 0 0	0 1 1 1 1	1 1 1	0 1 1	-0.00000	 0.00000	-0.00000	 1.97874	-0.00000	 0.00000	 0.00000	 7.49959	-0.60163	 8.27507
-8.61952	 1.11252	1 1 1 0 0	1 0 1 1 1	1 1 1	0 1 1	 0.00000	 0.00000	 0.00000	 3.43118	 0.00000	 0.00000	-0.00000	12.35689	 1.25701	18.30209
-8.52694	 1.20510	1 1 0 1 1	1 0 1 0 1	1 1 1	0 1 1	-0.00000	 0.00000	 0.00000	 2.07640	-0.00000	 0.00000	-0.00000	 8.16892	 0.47171	11.18874
-8.47289	 1.25915	1 1 1 1 0	1 1 1 0 0	1 1 1	0 1 1	-0.00000	 0.00000	-0.79414	 5.12048	-0.00000	 0.00000	-3.20586	19.51581	 4.19208	33.02046
-8.47289	 1.25915	1 1 0 0 1	1 1 1 1 0	1 1 1	0 1 1	-0.00000	 0.00000	 0.79414	 5.12048	-0.00000	 0.00000	 3.20586	19.51581	 4.19208	33.02046
-8.45155	 1.28049	1 1 1 1 0	0 1 1 1 0	1 1 1	0 1 1	-0.00000	 0.00000	 0.05366	 1.79156	-0.00000	 0.00000	 1.94625	13.26639	-0.60965	13.83865
-8.45155	 1.28049	1 1 1 1 0	1 0 1 0 1	1 1 1	0 1 1	-0.00000	 0.00000	-0.05364	 1.79156	-0.00000	 0.00000	-1.94567	13.26639	-0.60965	13.83865
-8.42072	 1.31132	1 1 0 0 1	0 1 1 1 1	1 1 1	0 1 1	 0.00000	 0.00000	 0.64922	 2.60264	 0.00000	 0.00000	 4.35078	28.41755	 3.99392	39.00804
-8.42072	 1.31132	0 1 1 1 1	0 0 1 1 1	1 1 1	1 0 1	 0.00000	 0.00000	-0.64922	 2.60264	 0.00000	 0.00000	-4.35078	28.41755	 3.99392	39.00804
