Energy(eV)	Energy(eV)	3d-alpha	3d-beta	2p-alpha	2p-beta	 < S_x > 	 < S_y > 	 < S_z > 	 < S2 > 	 < L_x > 	 < L_y > 	 < L_z > 	 < L2 > 	 < LS > 	 < J2 >
-1.56154	 0.75901	1 0 1 1 1	1 0 0 1 0	1 1 1	1 1 1	-0.00000	 0.00000	 0.02247	 2.05506	 0.00000	 0.00000	-1.02247	12.60558	-0.88415	12.89235
-1.56154	 0.75901	1 0 1 0 1	1 0 1 1 0	1 1 1	1 1 1	-0.00000	 0.00000	-0.02247	 2.05506	 0.00000	 0.00000	 1.02247	12.60558	-0.88415	12.89235
-1.44837	 0.87217	1 0 1 0 1	1 0 1 0 1	1 1 1	1 1 1	 0.00000	 0.00000	 0.91664	 1.96980	-0.00000	 0.00000	 1.08336	12.57103	 0.07804	14.69692
-1.44837	 0.87217	1 1 0 0 1	1 0 0 1 1	1 1 1	1 1 1	 0.00000	 0.00000	-0.91664	 1.96980	-0.00000	 0.00000	-1.08336	12.57103	 0.07804	14.69692
-1.28565	 1.03489	1 0 1 0 1	1 0 0 1 1	1 1 1	1 1 1	-0.00000	 0.00000	-0.00000	 0.25975	-0.00000	 0.00000	 0.00000	14.78271	-0.15524	14.73197
-1.18870	 1.13185	1 1 0 1 1	0 1 1 0 0	1 1 1	1 1 1	 0.00000	 0.00000	-0.96705	 1.93411	 0.00000	 0.00000	-5.03295	30.39536	 4.83527	42.00000
-1.18870	 1.13185	0 0 0 1 0	1 1 1 1 1	1 1 1	1 1 1	-0.00000	 0.00000	 0.96705	 1.93411	 0.00000	 0.00000	 5.03295	30.39536	 4.83527	42.00000
-1.17322	 1.14733	0 1 1 1 0	1 1 0 1 0	1 1 1	1 1 1	-0.00000	 0.00000	 0.23948	 1.96423	-0.00000	 0.00000	 4.76052	29.32582	 2.45355	36.19715
-1.17322	 1.14733	1 0 1 0 1	1 1 0 1 0	1 1 1	1 1 1	 0.00000	 0.00000	-0.23948	 1.96423	-0.00000	 0.00000	-4.76052	29.32582	 2.45355	36.19715
-1.14901	 1.17153	1 0 1 1 1	0 0 0 1 1	1 1 1	1 1 1	 0.00000	 0.00000	 0.62120	 2.00033	 0.00000	 0.00000	-4.62120	28.06386	-1.93074	26.20270
-1.14901	 1.17153	0 1 1 1 0	1 0 1 0 1	1 1 1	1 1 1	-0.00000	 0.00000	-0.62120	 2.00033	-0.00000	 0.00000	 4.62120	28.06386	-1.93074	26.20270
-1.12339	 1.19716	1 0 0 1 1	1 0 1 1 0	1 1 1	1 1 1	 0.00000	 0.00000	 0.44446	 1.30004	 0.00000	 0.00000	 1.55554	10.29581	 0.56789	12.73162
-1.12339	 1.19716	1 0 1 0 0	1 1 1 0 1	1 1 1	1 1 1	 0.00000	 0.00000	-0.44446	 1.30004	-0.00000	 0.00000	-1.55554	10.29581	 0.56789	12.73162
-1.10134	 1.21920	1 0 0 1 0	0 1 1 1 1	1 1 1	1 1 1	-0.00000	 0.00000	 0.59159	 1.54814	-0.00000	 0.00000	-3.59159	22.44367	-2.21452	19.56278
-1.10134	 1.21920	0 1 1 1 0	0 1 0 1 1	1 1 1	1 1 1	 0.00000	 0.00000	-0.59159	 1.54814	-0.00000	 0.00000	 3.59159	22.44367	-2.21452	19.56278
-1.08433	 1.23622	0 1 0 1 1	1 1 1 0 0	1 1 1	1 1 1	 0.00000	 0.00000	 0.09296	 1.84908	 0.00000	 0.00000	 0.46071	16.36989	 0.00880	18.23657
-1.08433	 1.23622	0 1 1 0 0	1 1 1 1 0	1 1 1	1 1 1	-0.00000	 0.00000	-0.05984	 1.84908	 0.00000	 0.00000	-0.29661	16.36989	 0.00880	18.23657
-1.06200	 1.25854	0 1 1 1 1	0 0 0 1 1	1 1 1	1 1 1	 0.00000	 0.00000	-0.00000	 1.89699	-0.00000	 0.00000	 0.00000	20.00523	-0.39096	21.12030
-1.03154	 1.28901	0 0 1 1 0	1 1 1 1 0	1 1 1	1 1 1	-0.00000	 0.00000	 0.89430	 2.00988	-0.00000	 0.00000	 0.08126	20.91008	 1.65153	26.22302
-1.03154	 1.28901	0 0 1 1 1	0 0 1 1 1	1 1 1	1 1 1	-0.00000	 0.00000	-0.88550	 2.00988	-0.00000	 0.00000	-0.08046	20.91008	 1.65153	26.22302
-1.03006	 1.29048	0 1 0 1 1	1 1 0 1 0	1 1 1	1 1 1	 0.00000	 0.00000	 0.60770	 1.41163	 0.00000	 0.00000	 1.39230	17.93362	 0.95887	21.26300
-1.03006	 1.29048	0 1 1 0 0	1 1 1 0 1	1 1 1	1 1 1	-0.00000	 0.00000	-0.60770	 1.41163	-0.00000	 0.00000	-1.39230	17.93362	 0.95887	21.26300
-1.02054	 1.30001	1 0 0 0 1	1 1 1 1 0	1 1 1	1 1 1	 0.00000	 0.00000	-1.36722	 4.64869	-0.00000	 0.00000	-2.63278	11.14382	 2.33512	20.46274
-1.02054	 1.30001	0 0 1 1 1	0 1 1 1 0	1 1 1	1 1 1	-0.00000	 0.00000	 1.36722	 4.64869	-0.00000	 0.00000	 2.63278	11.14382	 2.33512	20.46274
-1.00788	 1.31266	0 1 1 0 1	1 0 0 1 1	1 1 1	1 1 1	-0.00000	 0.00000	-0.00000	 2.06923	 0.00000	 0.00000	 0.00000	19.40164	-0.43532	20.60022
-0.99775	 1.32279	0 1 1 0 1	0 1 1 1 0	1 1 1	1 1 1	-0.00000	 0.00000	 0.00000	 2.11074	 0.00000	 0.00000	-0.00000	17.89371	 0.45964	20.92373
-0.99253	 1.32802	0 1 1 1 0	0 0 1 1 1	1 1 1	1 1 1	-0.00000	 0.00000	-0.73176	 1.96799	 0.00000	 0.00000	-4.26824	28.25327	 1.27977	32.78080
-0.99253	 1.32802	0 0 0 1 1	1 1 0 1 1	1 1 1	1 1 1	 0.00000	 0.00000	 0.73176	 1.96799	-0.00000	 0.00000	 4.26824	28.25327	 1.27977	32.78080
-0.97918	 1.34137	0 1 1 1 1	0 0 1 0 1	1 1 1	1 1 1	 0.00000	 0.00000	-0.13829	 2.54552	-0.00000	 0.00000	-3.86171	24.49580	-1.99839	23.04455
-0.97918	 1.34137	0 0 1 1 1	0 1 1 0 1	1 1 1	1 1 1	-0.00000	 0.00000	 0.13829	 2.54552	 0.00000	 0.00000	 3.86171	24.49580	-1.99839	23.04455
-0.94550	 1.37505	0 0 1 1 1	0 1 0 1 1	1 1 1	1 1 1	 0.00000	 0.00000	 0.77951	 5.28174	-0.00000	 0.00000	 2.22049	 8.07475	 1.24177	15.84004
-0.94550	 1.37505	0 1 1 0 0	0 1 1 1 1	1 1 1	1 1 1	-0.00000	 0.00000	-0.77951	 5.28174	-0.00000	 0.00000	-2.22049	 8.07475	 1.24177	15.84004
