Energy(eV)	Energy(eV)	3d-alpha	3d-beta	2p-alpha	2p-beta	 < S_x > 	 < S_y > 	 < S_z > 	 < S2 > 	 < L_x > 	 < L_y > 	 < L_z > 	 < L2 > 	 < LS > 	 < J2 >
-8.45155	 1.28049	1 1 1 1 0	1 0 1 0 1	1 1 1	0 1 1	-0.00000	 0.00000	 0.12267	 1.44773	-0.00000	 0.00000	-1.69550	10.99732	-0.87957	10.68591
-8.42072	 1.31132	1 1 0 0 1	0 1 1 1 1	1 1 1	0 1 1	 0.00000	 0.00000	 0.36060	 1.37493	 0.00000	 0.00000	 3.83159	21.52425	 1.68502	26.26923
-8.42072	 1.31132	0 1 1 1 1	0 0 1 1 1	1 1 1	1 0 1	 0.00000	 0.00000	-0.36060	 1.37493	 0.00000	 0.00000	-3.83159	21.52425	 1.68502	26.26923
-8.41169	 1.32035	1 1 0 1 1	1 0 0 1 1	1 1 1	0 1 1	 0.00000	 0.00000	 0.23777	 1.20166	 0.00000	 0.00000	 2.45532	17.12876	 1.36108	21.05257
-8.41169	 1.32035	1 1 0 1 1	1 1 0 1 0	1 1 1	0 1 1	 0.00000	 0.00000	-0.23777	 1.20166	 0.00000	 0.00000	-2.45535	17.12876	 1.36108	21.05257
-8.41050	 1.32154	1 0 1 1 1	1 0 0 1 1	1 1 1	0 1 1	 0.00000	 0.00000	-0.18424	 2.33286	 0.00000	 0.00000	-0.62347	 8.88072	 1.10636	13.42629
-8.41050	 1.32154	0 1 1 1 1	1 0 1 1 0	1 1 1	0 1 1	 0.00000	 0.00000	 0.18422	 2.33286	 0.00000	 0.00000	 0.62340	 8.88072	 1.10636	13.42629
-8.39058	 1.34146	1 1 0 1 1	0 1 1 1 0	1 1 1	0 1 1	-0.00000	 0.00000	 0.35238	 1.41867	-0.00000	 0.00000	 3.18749	20.28541	 1.57102	24.84612
-8.39058	 1.34146	1 1 0 1 1	1 1 1 0 0	1 1 1	0 1 1	-0.00000	 0.00000	-0.35238	 1.41867	-0.00000	 0.00000	-3.18749	20.28541	 1.57102	24.84612
-8.35724	 1.37480	1 0 1 1 1	1 1 1 0 0	1 1 1	0 1 1	-0.00000	 0.00000	 0.60704	 2.88324	-0.00000	 0.00000	 1.68719	 9.12526	 1.62411	15.25672
-8.35724	 1.37480	1 1 0 1 1	1 1 0 0 1	1 1 1	0 1 1	 0.00000	 0.00000	-0.60740	 2.88324	 0.00000	 0.00000	-1.68818	 9.12526	 1.62411	15.25672
-8.33852	 1.39352	1 1 0 0 0	1 1 1 1 1	1 1 1	0 1 1	 0.00000	 0.00000	 0.52224	 2.69310	 0.00000	 0.00000	 1.16072	10.73085	 1.62797	16.67990
-8.33852	 1.39352	1 1 0 1 1	1 0 1 1 0	1 1 1	0 1 1	-0.00000	 0.00000	-0.52224	 2.69310	-0.00000	 0.00000	-1.16072	10.73085	 1.62797	16.67990
-8.30877	 1.42328	1 0 1 1 1	1 0 1 1 0	1 1 1	0 1 1	 0.00000	 0.00000	 0.00000	 1.96269	-0.00000	 0.00000	-0.00000	 7.25746	-1.07590	 7.06835
-8.29385	 1.43819	0 1 1 1 0	1 1 0 1 1	1 1 1	0 1 1	 0.00000	 0.00000	-0.00946	 2.64822	 0.00000	 0.00000	 0.65494	 8.42557	-1.88941	 7.29497
-8.29385	 1.43819	1 0 1 1 0	1 1 1 0 1	1 1 1	0 1 1	-0.00000	 0.00000	 0.00946	 2.64822	-0.00000	 0.00000	-0.65519	 8.42557	-1.88941	 7.29497
-8.22182	 1.51022	0 1 1 0 1	0 1 1 1 1	1 1 1	0 1 1	 0.00000	 0.00000	 0.56531	 2.19319	 0.00000	 0.00000	 0.35902	11.62980	 0.91022	15.64344
-8.22182	 1.51022	0 1 1 1 0	1 1 1 0 1	1 1 1	0 1 1	 0.00000	 0.00000	-0.56531	 2.19319	-0.00000	 0.00000	-0.35902	11.62980	 0.91022	15.64344
-8.20770	 1.52434	1 0 1 1 0	1 1 1 1 0	1 1 1	0 1 1	-0.00000	 0.00000	 0.45839	 0.82363	-0.00000	 0.00000	 4.52226	25.28232	 2.03046	30.16687
-8.20770	 1.52434	1 0 1 1 1	1 0 1 0 1	1 1 1	0 1 1	-0.00000	 0.00000	-0.45839	 0.82363	 0.00000	 0.00000	-4.52225	25.28232	 2.03046	30.16687
-8.14104	 1.59101	0 1 1 1 1	0 1 1 1 0	1 1 1	0 1 1	-0.00000	 0.00000	 0.00000	 2.46485	 0.00000	 0.00000	 0.00000	12.77203	 1.89372	19.02432
-8.13546	 1.59658	1 1 1 0 0	1 1 0 1 1	1 1 1	0 1 1	 0.00000	 0.00000	-0.76739	 2.82312	 0.00000	 0.00000	-2.98510	16.00133	 0.63189	20.08823
-8.13546	 1.59658	0 1 1 1 0	1 1 1 1 0	1 1 1	0 1 1	 0.00000	 0.00000	 0.76739	 2.82312	 0.00000	 0.00000	 2.98510	16.00133	 0.63189	20.08823
-8.12636	 1.60568	0 1 1 1 1	1 0 1 0 1	1 1 1	0 1 1	 0.00000	 0.00000	-0.00000	 1.26297	 0.00000	 0.00000	-0.00000	15.27460	 0.59467	17.72691
-8.11539	 1.61665	1 1 0 1 0	0 1 1 1 1	1 1 1	0 1 1	 0.00000	 0.00000	-0.19480	 1.99986	-0.00000	 0.00000	-1.37680	11.10714	-0.03789	13.03122
-8.11539	 1.61665	0 1 1 1 1	1 1 0 0 1	1 1 1	0 1 1	-0.00000	 0.00000	 0.19478	 1.99986	-0.00000	 0.00000	 1.37666	11.10714	-0.03789	13.03122
-8.00762	 1.72442	0 1 0 0 1	1 1 1 1 1	1 1 1	0 1 1	 0.00000	 0.00000	 0.34921	 1.67362	-0.00000	 0.00000	 0.26691	11.37896	 0.51444	14.08147
-8.00762	 1.72442	0 1 1 0 0	1 1 1 1 1	1 1 1	0 1 1	 0.00000	 0.00000	-0.34923	 1.67362	 0.00000	 0.00000	-0.26692	11.37896	 0.51444	14.08147
-8.00042	 1.73163	1 1 0 0 1	1 0 1 1 1	1 1 1	0 1 1	 0.00000	 0.00000	-0.60507	 3.50091	-0.00000	 0.00000	-1.52960	 9.52178	-0.75763	11.50743
-8.00042	 1.73163	0 1 1 0 1	1 0 1 1 1	1 1 1	0 1 1	 0.00000	 0.00000	 0.60507	 3.50091	-0.00000	 0.00000	 1.52960	 9.52178	-0.75763	11.50743
-7.85765	 1.87439	0 1 0 1 1	0 1 1 1 1	1 1 1	0 1 1	 0.00000	 0.00000	 0.09072	 1.05476	-0.00000	 0.00000	 2.52777	15.92369	-0.13281	16.71282
-7.85765	 1.87439	0 1 1 0 1	1 1 0 1 1	1 1 1	0 1 1	 0.00000	 0.00000	-0.09079	 1.05476	-0.00000	 0.00000	-2.52955	15.92369	-0.13281	16.71282
-7.85219	 1.87985	0 1 0 1 1	1 0 1 1 1	1 1 1	0 1 1	 0.00000	 0.00000	 0.19083	 2.81084	-0.00000	 0.00000	 1.29823	11.28204	-0.68660	12.71968
-7.85219	 1.87985	0 1 1 0 1	1 1 1 0 1	1 1 1	0 1 1	-0.00000	 0.00000	-0.19083	 2.81084	 0.00000	 0.00000	-1.29824	11.28204	-0.68660	12.71968
-7.79711	 1.93493	1 1 1 1 1	0 1 1 0 0	1 1 0	1 1 1	-0.00000	 0.00000	 0.53308	 2.32976	-0.00000	 0.00000	-0.08173	11.98105	-0.25668	13.79745
-7.79711	 1.93493	0 0 1 1 1	1 1 0 1 1	1 1 1	0 1 1	 0.00000	 0.00000	-0.57600	 2.32976	 0.00000	 0.00000	 0.08831	11.98105	-0.25668	13.79745
-7.74592	 1.98613	0 0 1 1 0	1 1 1 1 1	1 1 1	0 1 1	-0.00000	 0.00000	 0.42349	 2.26407	-0.00000	 0.00000	 0.75209	12.49625	 0.37728	15.51488
-7.74592	 1.98613	0 0 1 1 1	1 0 1 1 1	1 1 1	0 1 1	-0.00000	 0.00000	-0.42351	 2.26407	-0.00000	 0.00000	-0.75212	12.49625	 0.37728	15.51488
-7.74110	 1.99095	0 0 0 1 1	1 1 1 1 1	1 1 1	0 1 1	 0.00000	 0.00000	-0.00000	 3.17950	-0.00000	 0.00000	 0.00000	 9.47512	-2.83218	 6.99026
-7.73961	 1.99243	0 0 1 0 1	1 1 1 1 1	1 1 1	0 1 1	-0.00000	 0.00000	 0.00000	 2.41747	-0.00000	 0.00000	-0.00000	13.26315	-1.25789	13.16485
-7.73608	 1.99596	1 1 1 1 1	0 1 0 1 0	1 1 0	1 1 1	-0.00000	 0.00000	-0.05836	 2.46876	-0.00000	 0.00000	 0.70998	12.41146	-0.74806	13.38411
-7.73608	 1.99596	1 1 1 1 1	1 0 0 0 1	1 1 0	1 1 1	 0.00000	 0.00000	 0.05785	 2.46876	 0.00000	 0.00000	-0.70384	12.41146	-0.74806	13.38411
-7.71985	 2.01219	0 1 0 1 0	1 1 1 1 1	1 1 1	0 1 1	 0.00000	 0.00000	 0.56564	 3.02356	 0.00000	 0.00000	 2.33257	12.13368	-0.04712	15.06301
-7.71985	 2.01219	0 1 0 1 1	1 1 0 1 1	1 1 1	0 1 1	-0.00000	 0.00000	-0.56566	 3.02356	 0.00000	 0.00000	-2.33266	12.13368	-0.04712	15.06301
-7.60054	 2.13150	1 1 1 1 0	0 0 1 1 1	1 1 0	1 1 1	 0.00000	 0.00000	 0.36120	 2.13468	 0.00000	 0.00000	 2.75495	15.51221	-0.07517	17.49654
-7.60054	 2.13150	0 1 1 1 1	0 1 0 1 1	1 1 1	0 1 1	 0.00000	 0.00000	-0.36124	 2.13468	-0.00000	 0.00000	-2.75526	15.51221	-0.07517	17.49654
-7.59961	 2.13243	0 1 1 1 0	1 0 1 1 1	1 1 1	0 1 1	 0.00000	 0.00000	-0.05627	 1.98012	 0.00000	 0.00000	-1.51775	12.02000	-0.32110	13.35792
-7.59961	 2.13243	1 1 1 0 1	1 0 1 0 1	1 1 0	1 1 1	-0.00000	 0.00000	 0.05627	 1.98012	-0.00000	 0.00000	 1.51775	12.02000	-0.32110	13.35792
-7.58974	 2.14231	0 0 1 1 1	1 1 1 0 1	1 1 1	0 1 1	 0.00000	 0.00000	-0.06799	 1.60085	 0.00000	 0.00000	 2.56046	15.70238	-0.81984	15.66356
-7.58974	 2.14231	0 1 0 1 1	1 1 1 1 0	1 1 1	0 1 1	-0.00000	 0.00000	 0.06799	 1.60085	-0.00000	 0.00000	-2.56049	15.70238	-0.81984	15.66356
-7.56168	 2.17037	1 1 1 0 1	1 1 0 1 0	1 1 0	1 1 1	 0.00000	 0.00000	 0.86512	 2.09983	 0.00000	 0.00000	 3.35908	18.03976	 2.62146	25.38251
-7.56168	 2.17037	1 1 0 1 0	1 1 1 0 1	1 1 1	0 1 1	 0.00000	 0.00000	-0.86512	 2.09983	 0.00000	 0.00000	-3.35908	18.03976	 2.62146	25.38251
-7.55736	 2.17468	1 1 1 0 1	1 1 1 0 0	1 1 0	1 1 1	 0.00000	 0.00000	 0.00000	 1.63527	 0.00000	 0.00000	-0.00000	 6.06030	-0.23925	 7.21705
-7.53045	 2.20159	1 1 1 0 1	1 1 0 0 1	1 1 0	1 1 1	-0.00000	 0.00000	 0.36673	 1.68821	-0.00000	 0.00000	 1.87048	16.28757	 1.51365	21.00308
-7.53045	 2.20159	0 1 1 1 1	0 1 1 0 1	1 1 1	0 1 1	 0.00000	 0.00000	-0.36674	 1.68821	 0.00000	 0.00000	-1.87054	16.28757	 1.51365	21.00308
-7.52654	 2.20550	1 1 1 1 0	1 1 0 0 1	1 1 0	1 1 1	-0.00000	 0.00000	-0.00000	 2.43248	 0.00000	 0.00000	 0.00000	 9.88344	-1.80478	 8.70635
-7.49073	 2.24132	1 1 1 1 1	1 1 0 0 0	1 1 0	1 1 1	-0.00000	 0.00000	 0.00714	 2.30055	-0.00000	 0.00000	 0.80925	 9.67659	-1.06483	 9.84748
-7.49073	 2.24132	0 0 1 1 1	0 1 1 1 1	1 1 1	0 1 1	 0.00000	 0.00000	-0.00716	 2.30055	 0.00000	 0.00000	-0.81146	 9.67659	-1.06483	 9.84748
-7.44013	 2.29191	1 1 1 1 1	1 0 1 0 0	1 1 0	1 1 1	 0.00000	 0.00000	 0.49209	 2.60993	 0.00000	 0.00000	 0.97195	11.00541	-0.66199	12.29137
-7.44013	 2.29191	0 1 0 1 1	1 1 1 0 1	1 1 1	0 1 1	 0.00000	 0.00000	-0.49212	 2.60993	 0.00000	 0.00000	-0.97201	11.00541	-0.66199	12.29137
-7.41971	 2.31233	1 1 0 1 1	0 1 1 1 0	1 1 0	1 1 1	 0.00000	 0.00000	 0.56566	 3.10972	-0.00000	 0.00000	 1.60740	 7.21395	 0.55070	11.42507
-7.41971	 2.31233	0 1 1 0 1	1 1 1 1 0	1 1 1	0 1 1	 0.00000	 0.00000	-0.56566	 3.10972	-0.00000	 0.00000	-1.60740	 7.21395	 0.55070	11.42507
-7.38589	 2.34616	0 1 1 1 0	0 1 1 1 1	1 1 1	0 1 1	-0.00000	 0.00000	-0.79165	 2.55210	-0.00000	 0.00000	-2.17418	12.42307	 0.85429	16.68376
-7.38589	 2.34616	1 1 0 1 1	0 1 1 0 1	1 1 0	1 1 1	-0.00000	 0.00000	 0.79165	 2.55210	 0.00000	 0.00000	 2.17418	12.42307	 0.85429	16.68376
-7.36621	 2.36583	0 0 1 0 1	1 1 1 1 1	0 1 1	1 1 1	 0.00000	 0.00000	-0.50000	 0.75000	 0.00000	 0.00000	-5.00000	30.00000	 2.50000	35.75000
-7.36621	 2.36583	0 0 0 1 1	1 1 1 1 1	0 1 1	1 1 1	 0.00000	 0.00000	 0.50000	 0.75000	 0.00000	 0.00000	 5.00000	30.00000	 2.50000	35.75000
-7.31951	 2.41253	1 1 0 1 1	0 1 0 1 1	1 1 0	1 1 1	-0.00000	 0.00000	 0.52746	 1.61831	-0.00000	 0.00000	 2.67481	14.01388	 0.37021	16.37261
-7.31951	 2.41253	0 1 1 1 1	0 0 1 1 1	1 1 1	0 1 1	-0.00000	 0.00000	-0.52766	 1.61831	-0.00000	 0.00000	-2.67586	14.01388	 0.37021	16.37261
-7.31524	 2.41681	1 1 1 1 0	1 1 0 1 0	1 1 0	1 1 1	 0.00000	 0.00000	-0.02202	 3.02823	 0.00000	 0.00000	-0.82063	 6.40514	-0.59954	 8.23430
-7.31524	 2.41681	1 1 0 0 1	1 0 1 1 1	1 1 0	1 1 1	 0.00000	 0.00000	 0.02119	 3.02823	 0.00000	 0.00000	 0.78985	 6.40514	-0.59954	 8.23430
-7.30040	 2.43164	1 1 1 1 0	1 1 1 0 0	1 1 0	1 1 1	-0.00000	 0.00000	 0.31107	 2.22784	 0.00000	 0.00000	-1.00586	12.19913	-2.11824	10.19050
-7.30040	 2.43164	1 1 1 0 1	0 1 1 0 1	1 1 0	1 1 1	-0.00000	 0.00000	-0.31006	 2.22784	-0.00000	 0.00000	 1.00259	12.19913	-2.11824	10.19050
-7.26087	 2.47117	1 1 1 0 1	0 0 1 1 1	1 1 0	1 1 1	 0.00000	 0.00000	-0.12846	 2.56170	-0.00000	 0.00000	 1.02312	 9.58125	-1.14507	 9.85281
-7.26087	 2.47117	1 1 1 0 1	0 1 0 1 1	1 1 0	1 1 1	 0.00000	 0.00000	 0.12846	 2.56170	-0.00000	 0.00000	-1.02313	 9.58125	-1.14507	 9.85281
-7.25716	 2.47489	1 1 1 1 1	1 0 0 1 0	1 1 0	1 1 1	-0.00000	 0.00000	 0.09433	 3.14235	 0.00000	 0.00000	 1.43315	 8.42246	-0.70484	10.15512
