# Energy_1	Intensity_1
7.816806722689075286e+02	6.204566495381802103e-05
7.817046818727491200e+02	6.216717206520448117e-05
7.817286914765905976e+02	6.228904161057709817e-05
7.817527010804321890e+02	6.241127504762867097e-05
7.817767106842736666e+02	6.253387384144285562e-05
7.818007202881152580e+02	6.265683946453971538e-05
7.818247298919567356e+02	6.278017339692123003e-05
7.818487394957983270e+02	6.290387712611721191e-05
7.818727490996398046e+02	6.302795214723146578e-05
7.818967587034813960e+02	6.315239996298858570e-05
7.819207683073229873e+02	6.327722208378075191e-05
7.819447779111644650e+02	6.340242002771493432e-05
7.819687875150060563e+02	6.352799532066071930e-05
7.819927971188475340e+02	6.365394949629802821e-05
7.820168067226891253e+02	6.378028409616558116e-05
7.820408163265306030e+02	6.390700066970937448e-05
7.820648259303721943e+02	6.403410077433193055e-05
7.820888355342136720e+02	6.416158597544149346e-05
7.821128451380552633e+02	6.428945784650167198e-05
7.821368547418967410e+02	6.441771796908174648e-05
7.821608643457383323e+02	6.454636793290698951e-05
7.821848739495798100e+02	6.467540933590937931e-05
7.822088835534214013e+02	6.480484378427903169e-05
7.822328931572628790e+02	6.493467289251553698e-05
7.822569027611044703e+02	6.506489828348002886e-05
7.822809123649459480e+02	6.519552158844748354e-05
7.823049219687875393e+02	6.532654444715933068e-05
7.823289315726290170e+02	6.545796850787671481e-05
7.823529411764706083e+02	6.558979542743378389e-05
7.823769507803120860e+02	6.572202687129180456e-05
7.824009603841536773e+02	6.585466451359312824e-05
7.824249699879951550e+02	6.598771003721614671e-05
7.824489795918367463e+02	6.612116513383024753e-05
7.824729891956782240e+02	6.625503150395124395e-05
7.824969987995198153e+02	6.638931085699745520e-05
7.825210084033612929e+02	6.652400491134573268e-05
7.825450180072028843e+02	6.665911539438852966e-05
7.825690276110444756e+02	6.679464404259076763e-05
7.825930372148859533e+02	6.693059260154754302e-05
7.826170468187275446e+02	6.706696282604210487e-05
7.826410564225690223e+02	6.720375648010434757e-05
7.826650660264106136e+02	6.734097533706954748e-05
7.826890756302520913e+02	6.747862117963779078e-05
7.827130852340936826e+02	6.761669579993376722e-05
7.827370948379351603e+02	6.775520099956682137e-05
7.827611044417767516e+02	6.789413858969169503e-05
7.827851140456182293e+02	6.803351039106970337e-05
7.828091236494598206e+02	6.817331823413014138e-05
7.828331332533012983e+02	6.831356395903242227e-05
7.828571428571428896e+02	6.845424941572867653e-05
7.828811524609843673e+02	6.859537646402645952e-05
7.829051620648259586e+02	6.873694697365238056e-05
7.829291716686674363e+02	6.887896282431605732e-05
7.829531812725090276e+02	6.902142590577436834e-05
7.829771908763505053e+02	6.916433811789651873e-05
7.830012004801920966e+02	6.930770137072922779e-05
7.830252100840335743e+02	6.945151758456289250e-05
7.830492196878751656e+02	6.959578868999768313e-05
7.830732292917166433e+02	6.974051662801054700e-05
7.830972388955582346e+02	6.988570335002274069e-05
7.831212484993997123e+02	7.003135081796745714e-05
7.831452581032413036e+02	7.017746100435849632e-05
7.831692677070827813e+02	7.032403589235919339e-05
7.831932773109243726e+02	7.047107747585168566e-05
7.832172869147659640e+02	7.061858775950726375e-05
7.832412965186074416e+02	7.076656875885656013e-05
7.832653061224490330e+02	7.091502250036093029e-05
7.832893157262905106e+02	7.106395102148391522e-05
7.833133253301321020e+02	7.121335637076350346e-05
7.833373349339735796e+02	7.136324060788485398e-05
7.833613445378151710e+02	7.151360580375356116e-05
7.833853541416566486e+02	7.166445404056967863e-05
7.834093637454982400e+02	7.181578741190185167e-05
7.834333733493397176e+02	7.196760802276266922e-05
7.834573829531813089e+02	7.211991798968409723e-05
7.834813925570227866e+02	7.227271944079356259e-05
7.835054021608643779e+02	7.242601451589094502e-05
7.835294117647058556e+02	7.257980536652590777e-05
7.835534213685474469e+02	7.273409415607555363e-05
7.835774309723889246e+02	7.288888305982353102e-05
7.836014405762305159e+02	7.304417426503877415e-05
7.836254501800719936e+02	7.319996997105553073e-05
7.836494597839135849e+02	7.335627238935372844e-05
7.836734693877550626e+02	7.351308374364011391e-05
7.836974789915966539e+02	7.367040626992986602e-05
7.837214885954381316e+02	7.382824221662888690e-05
7.837454981992797229e+02	7.398659384461701437e-05
7.837695078031212006e+02	7.414546342733137005e-05
7.837935174069627919e+02	7.430485325085084576e-05
7.838175270108042696e+02	7.446476561398099661e-05
7.838415366146458609e+02	7.462520282833972002e-05
7.838655462184874523e+02	7.478616721844347692e-05
7.838895558223289299e+02	7.494766112179428543e-05
7.839135654261705213e+02	7.510968688896755478e-05
7.839375750300119989e+02	7.527224688370021740e-05
7.839615846338535903e+02	7.543534348297995873e-05
7.839855942376950679e+02	7.559897907713501633e-05
7.840096038415366593e+02	7.576315606992452094e-05
7.840336134453781369e+02	7.592787687862985414e-05
7.840576230492197283e+02	7.609314393414654801e-05
7.840816326530612059e+02	7.625895968107686241e-05
7.841056422569027973e+02	7.642532657782350077e-05
7.841296518607442749e+02	7.659224709668329865e-05
7.841536614645858663e+02	7.675972372394255225e-05
7.841776710684273439e+02	7.692775895997253663e-05
7.842016806722689353e+02	7.709635531932583702e-05
7.842256902761104129e+02	7.726551533083388643e-05
7.842496998799520043e+02	7.743524153770463866e-05
7.842737094837934819e+02	7.760553649762152886e-05
7.842977190876350733e+02	7.777640278284301688e-05
7.843217286914765509e+02	7.794784298030295723e-05
7.843457382953181423e+02	7.811985969171195848e-05
7.843697478991596199e+02	7.829245553365914915e-05
7.843937575030012113e+02	7.846563313771524471e-05
7.844177671068426889e+02	7.863939515053617018e-05
7.844417767106842803e+02	7.881374423396744170e-05
7.844657863145257579e+02	7.898868306514984913e-05
7.844897959183673493e+02	7.916421433662542328e-05
7.845138055222089406e+02	7.934034075644455508e-05
7.845378151260504183e+02	7.951706504827421248e-05
7.845618247298920096e+02	7.969438995150659110e-05
